repo,kind,nmains,imp,all,app_n,mod_n,main_used,app_tp_imp,app_fp_imp,app_fn_imp,mod_tp_imp,mod_fp_imp,mod_fn_imp,app_tp_all,app_fp_all,app_fn_all,mod_tp_all,mod_fp_all,mod_fn_all
ThomasObenaus__go-conf,lib_no_realmain,0,19,161,NA,19,NONE,NA,NA,NA,19,0,0,NA,NA,NA,19,0,142
MordaTeam__go-config,lib_no_realmain,0,20,231,NA,21,NONE,NA,NA,NA,20,1,0,NA,NA,NA,21,0,210
subpop__go-ini,lib_no_realmain,0,0,1,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,1
ianlopshire__go-ssm-config,lib_no_realmain,0,3,13,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,10
ufoscout__go-up,lib_no_realmain,0,0,4,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,4
Jagerente__gocfg,lib_no_realmain,0,1,7,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,6
fulldump__goconfig,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
joho__godotenv,app_cmd,1,0,0,0,0,cmd/godotenv,0,0,0,0,0,0,0,0,0,0,0,0
golobby__config,lib_no_realmain,0,5,16,NA,5,NONE,NA,NA,NA,5,0,0,NA,NA,NA,5,0,11
milad-abbasi__gonfig,lib_no_realmain,0,3,8,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,5
gookit__config,app_run_fail,1,13,18,NA,13,_examples,NA,NA,NA,13,0,0,NA,NA,NA,13,0,5
beatlabs__harvester,app_run_fail,1,20,0,NA,21,vendor/github.com/redis/go-redis/v9/maintnotifications,NA,NA,NA,20,1,0,NA,NA,NA,0,21,0
hjson__hjson-go,app_other,1,0,0,0,0,hjson-cli,0,0,0,0,0,0,0,0,0,0,0,0
go-ini__ini,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
wlevene__ini,lib_no_realmain,0,2,2,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,0
kelseyhightower__envconfig,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
knadh__koanf,lib_no_realmain,0,4,221,NA,98,NONE,NA,NA,NA,4,94,0,NA,NA,NA,98,0,123
nil-go__konf,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
lalamove__konfig,lib_no_realmain,0,51,245,NA,52,NONE,NA,NA,NA,51,1,0,NA,NA,NA,52,0,193
alecthomas__kong,app_other,5,0,3,0,0,_examples/asciilogo,0,0,0,0,0,0,0,0,3,0,0,3
nasermirzaei89__env,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
muir__nfigure,lib_no_realmain,0,7,27,NA,7,NONE,NA,NA,NA,7,0,0,NA,NA,NA,7,0,20
goraz__onion,app_other,1,15,175,8,15,cli/onioncli,8,0,7,15,0,0,8,0,167,15,0,160
Yiling-J__piper,app_other,1,15,160,15,15,cmd,15,0,0,15,0,0,15,0,145,15,0,145
bytedance__sonic,app_other,1,6,36,7,11,issue_test/plugin,6,1,0,6,5,0,7,0,29,11,0,25
oblq__swap,lib_no_realmain,0,2,12,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,10
diegomarangoni__typenv,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
omeid__uconfig,lib_no_realmain,0,2,6,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,4
spf13__viper,lib_no_realmain,0,11,25,NA,11,NONE,NA,NA,NA,11,0,0,NA,NA,NA,11,0,14
adrg__xdg,lib_no_realmain,0,0,7,NA,1,NONE,NA,NA,NA,0,1,0,NA,NA,NA,1,0,6
romshark__yamagiconf,lib_no_realmain,0,9,27,NA,9,NONE,NA,NA,NA,9,0,0,NA,NA,NA,9,0,18
chaindead__zerocfg,lib_no_realmain,0,2,7,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,5
bleenco__abstruse,app_run_fail,2,111,553,NA,123,cmd/abstruse-server,NA,NA,NA,111,12,0,NA,NA,NA,123,0,430
ovh__cds,app_other,33,313,765,123,321,cli/cdsctl,121,2,192,308,13,5,121,2,644,316,5,449
opnlabs__dot,app_root,1,29,54,29,33,.,29,0,0,29,4,0,29,0,25,33,0,21
drone__drone,app_run_fail,2,202,778,NA,207,cmd/gitness,NA,NA,NA,201,6,1,NA,NA,NA,207,0,571
s0ders__go-semver-release,app_root,1,36,70,36,38,.,36,0,0,36,2,0,36,0,34,38,0,32
nikogura__gomason,app_root,1,13,30,13,14,.,13,0,0,13,1,0,13,0,17,14,0,16
GoTestTools__gotestfmt,app_cmd,2,0,0,0,0,cmd/gotestfmt,0,0,0,0,0,0,0,0,0,0,0,0
mattn__goveralls,app_root,1,2,10,2,2,.,2,0,0,2,0,0,2,0,8,2,0,8
raviqqe__muffet,app_root,1,17,35,17,17,.,17,0,0,17,0,0,17,0,18,17,0,18
pikoci__pikoci,app_root,2,60,182,59,75,.,59,0,1,60,15,0,59,0,123,75,0,107
woodpecker-ci__woodpecker,app_cmd,3,201,413,87,228,cmd/agent,87,0,114,199,29,2,87,0,326,228,0,185
napsy__go-css,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
wellington__go-libsass,app_other,1,0,4,0,0,blah,0,0,0,0,0,0,0,0,4,0,0,4
benthosdev__benthos,app_cmd,10,499,1410,468,523,cmd/redpanda-connect,468,0,31,497,26,2,468,0,942,522,1,888
cloudquery__cloudquery,app_root,48,151,363,151,153,.,151,0,0,151,2,0,151,0,212,153,0,210
jf-tech__omniparser,app_other,2,21,126,17,22,cli,17,0,4,21,1,0,17,0,109,22,0,104
iancmcc__bingo,lib_no_realmain,0,1,10,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,9
RoaringBitmap__roaring,lib_no_realmain,0,2,19,NA,7,NONE,NA,NA,NA,2,5,0,NA,NA,NA,7,0,12
kelindar__bitmap,app_other,1,2,9,2,3,bench,2,0,0,2,1,0,2,0,7,3,0,6
bits-and-blooms__bitset,app_cmd,1,0,0,0,0,cmd/pextgen,0,0,0,0,0,0,0,0,0,0,0,0
bits-and-blooms__bloom,lib_no_realmain,0,1,2,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,1
OldPanda__bloomfilter,lib_no_realmain,0,2,20,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,18
linvon__cuckoo-filter,lib_no_realmain,0,1,0,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,0,1,0
seiflotfy__cuckoofilter,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
RibbonFilter__ribbonGo,lib_no_realmain,0,2,4,NA,3,NONE,NA,NA,NA,2,1,0,NA,NA,NA,3,0,1
TheTannerRyan__ring,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
shady831213__algorithms,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
Workiva__go-datastructures,lib_no_realmain,0,7,18,NA,6,NONE,NA,NA,NA,6,0,1,NA,NA,NA,6,0,12
emirpasic__gods,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
liyue201__gostl,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
alvii147__gloop,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
yaa110__goterator,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
disksing__iter,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
lrita__cmap,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
mhmtszr__concurrent-swiss-map,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
srfrog__dict,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
lucmq__go-shelve,app_cmd,1,0,0,0,0,cmd/shelve,0,0,0,0,0,0,0,0,0,0,0,0
goradd__maps,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
lyonnee__hmap,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
bobg__combo,app_cmd,1,5,9,5,5,cmd/combo,5,0,0,5,0,0,5,0,4,5,0,4
seiflotfy__count-min-log,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
enetx__fsm,lib_no_realmain,0,5,9,NA,5,NONE,NA,NA,NA,5,0,0,NA,NA,NA,5,0,4
cocoonspace__fsm,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
nwillc__genfuncs,lib_no_realmain,0,1,12,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,11
bobg__go-generics,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
francesconi__go-rampart,lib_no_realmain,0,1,6,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,5
aurelien-rainone__go-rquad,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
barweiss__go-tuple,lib_no_realmain,0,1,11,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,10
daichi-m__go18ds,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
esimov__gogu,lib_no_realmain,0,2,12,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,10
kniren__gota,lib_no_realmain,0,2,37,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,35
emvi__hide,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
axiomhq__hyperloglog,lib_no_realmain,0,2,15,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,13
s0rg__quadtree,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
twharmon__slices,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
kak-tus__nan,app_cmd,1,9,21,9,9,cmd/nan,9,0,0,9,0,0,9,0,12,9,0,12
emvi__null,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
gurukami__typ,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
aalpar__deheap,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
edwingeng__deque,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
gammazero__deque,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
vodolaz095__dqueue,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
enriquebris__goconcurrentqueue,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
hatchet-dev__hatchet,app_cmd,9,244,428,139,251,cmd/hatchet-admin,139,0,105,241,10,3,139,0,289,251,0,177
koss-null__list,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
embano1__memlog,lib_no_realmain,0,1,7,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,6
adrianbrad__queue,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
ihebu__dsu,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
deckarep__golang-set,lib_no_realmain,0,1,13,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,12
zoumo__goset,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
StudioSol__set,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
blevesearch__bleve,app_cmd,1,34,64,32,36,cmd/bleve,32,0,2,34,2,0,32,0,32,36,0,28
plar__go-adaptive-radix-tree,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
hbollon__go-edlib,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
agext__levenshtein,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
agnivade__levenshtein,lib_no_realmain,0,0,2,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,2
MonaxGT__parsefields,app_run_fail,1,1,1,NA,1,service/parsefields,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
viant__ptrie,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
gammazero__radixtree,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
derekparker__trie,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
aio-arch__graphlib,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
bobg__hashsplit,lib_no_realmain,0,1,6,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,5
bobg__merkle,lib_no_realmain,0,0,5,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,5
tejzpr__ordered-concurrently,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
nazar256__parapipe,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
nxdir-s__pipelines,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
allegro__bigcache,app_other,1,0,0,0,0,server,0,0,0,0,0,0,0,0,0,0,0,0
muesli__cache2go,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
faabiosr__cachego,lib_no_realmain,0,16,31,NA,16,NONE,NA,NA,NA,16,0,0,NA,NA,NA,16,0,15
oracle__coherence-go-client,lib_no_realmain,0,7,40,NA,7,NONE,NA,NA,NA,7,0,0,NA,NA,NA,7,0,33
codingsince1985__couchcache,app_root,1,10,21,10,10,.,10,0,0,10,0,0,10,0,11,10,0,11
EchoVault__EchoVault,app_root,4,30,96,0,30,.,0,0,30,30,0,0,0,0,96,30,0,66
VictoriaMetrics__fastcache,lib_no_realmain,0,3,0,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,0,3,0
bluele__gcache,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
ulovecode__gdcache,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
viney-shih__go-cache,lib_no_realmain,0,10,48,NA,10,NONE,NA,NA,NA,10,0,0,NA,NA,NA,10,0,38
elastic__go-freelru,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
szyhf__go-gcache,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
OrlovEvgeny__go-mcache,lib_no_realmain,0,0,25,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,25
yuseferi__gocache,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
golang__groupcache,lib_no_realmain,0,2,4,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,2
mdaliyan__icache,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
erni27__imcache,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
mgtv-tech__jetcache-go,lib_no_realmain,0,19,61,NA,19,NONE,NA,NA,NA,19,0,0,NA,NA,NA,19,0,42
no-src__nscache,app_cmd,2,41,104,40,45,cmd/nscache-cli,40,0,1,41,4,0,40,0,64,45,0,59
maypok86__otter,app_cmd,5,0,6,0,4,cmd/generator,0,0,0,0,4,0,0,0,6,4,0,2
naughtygopher__pocache,lib_no_realmain,0,1,7,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,6
dgraph-io__ristretto,app_other,2,3,10,3,3,contrib/memtest,3,0,0,3,0,0,3,0,7,3,0,7
viccon__sturdyc,lib_no_realmain,0,1,2,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,1
Yiling-J__theine-go,app_other,1,3,14,3,3,run,3,0,0,3,0,0,3,0,11,3,0,11
zekroTJA__timedmap,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
jellydator__ttlcache,lib_no_realmain,0,1,11,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,10
cheshir__ttlcache,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
dgraph-io__badger,app_other,2,18,35,18,19,badger,18,0,0,18,1,0,18,0,17,19,0,16
etcd-io__bbolt,app_cmd,1,7,65,3,10,cmd/bbolt,3,0,4,4,6,3,3,0,62,10,0,55
tidwall__buntdb,lib_no_realmain,0,7,9,NA,7,NONE,NA,NA,NA,7,0,0,NA,NA,NA,7,0,2
ostafen__clover,lib_no_realmain,0,17,62,NA,17,NONE,NA,NA,NA,17,0,0,NA,NA,NA,17,0,45
cockroachdb__cockroach,app_run_fail,99,401,1166,NA,472,pkg/bench/cmd/pgbenchsetup,NA,NA,NA,391,81,10,NA,NA,NA,463,9,703
claygod__coffer,lib_no_realmain,0,3,20,NA,9,NONE,NA,NA,NA,3,6,0,NA,NA,NA,9,0,11
kelindar__column,app_other,1,13,21,0,14,codegen,0,0,13,13,1,0,0,0,21,14,0,7
CovenantSQL__CovenantSQL,app_cmd,7,87,238,37,94,cmd/cql,37,0,50,86,8,1,37,0,201,93,1,145
dgraph-io__dgraph,app_cmd,43,157,349,0,159,buildvars/cmd/buildvars,0,0,157,156,3,1,0,0,349,159,0,190
peterbourgon__diskv,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
krotik__eliasdb,app_other,1,3,3,3,3,cli,3,0,0,3,0,0,3,0,0,3,0,0
hdt3213__godis,app_root,1,19,97,19,21,.,19,0,0,19,2,0,19,0,78,21,0,76
syndtr__goleveldb,app_other,2,10,35,1,10,manualtest/dbstress,1,0,9,10,0,0,1,0,34,10,0,25
jameycribbs__hare,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
codenotary__immudb,app_cmd,9,81,489,71,106,cmd/immuadmin,70,1,11,78,28,3,70,1,419,105,1,384
siddontang__ledisdb,app_cmd,7,13,34,13,13,cmd/ledis,13,0,0,13,0,0,13,0,21,13,0,21
jmhodges__levigo,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
amit-davidson__LibraDB,lib_no_realmain,0,5,7,NA,5,NONE,NA,NA,NA,5,0,0,NA,NA,NA,5,0,2
lindb__lindb,app_cmd,2,161,482,28,173,cmd/cli,28,0,133,157,16,4,28,0,454,173,0,309
flower-corp__lotusdb,lib_no_realmain,0,20,56,NA,22,NONE,NA,NA,NA,20,2,0,NA,NA,NA,22,0,34
lynxbase__lynxdb,app_cmd,4,90,232,10,92,cmd/lsg-fixture,10,0,80,90,2,0,10,0,222,92,0,140
milvus-io__milvus,app_cmd,5,274,805,273,288,cmd/embedded,268,5,6,268,20,6,268,5,537,283,5,522
couchbase__moss,lib_no_realmain,0,3,4,NA,4,NONE,NA,NA,NA,3,1,0,NA,NA,NA,4,0,0
aymanhs__nanotdb,app_cmd,4,2,2,1,2,cmd/drip,1,0,1,2,0,0,1,0,1,2,0,0
orneryd__NornicDB,app_cmd,13,115,391,52,120,cmd/eval,52,0,63,115,5,0,52,0,339,120,0,271
xujiajun__nutsdb,lib_no_realmain,0,13,20,NA,10,NONE,NA,NA,NA,10,0,3,NA,NA,NA,10,0,10
objectbox__objectbox-go,app_cmd,1,2,2,1,2,cmd/objectbox-gogen,1,0,1,2,0,0,1,0,1,2,0,0
cockroachdb__pebble,app_cmd,9,50,238,43,48,cmd/pebble,43,0,7,47,1,3,43,0,195,48,0,190
akrylysov__pogreb,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
prometheus__prometheus,app_cmd,4,238,537,234,308,cmd/prometheus,234,0,4,236,72,2,234,0,303,308,0,229
recoilme__pudge,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
nalgeon__redka,app_cmd,1,5,6,5,5,cmd/redka,5,0,0,5,0,0,5,0,1,5,0,1
roseduan__rosedb,lib_no_realmain,0,6,17,NA,7,NONE,NA,NA,NA,6,1,0,NA,NA,NA,7,0,10
xgzlucario__rotom,app_root,2,32,129,32,35,.,32,0,0,32,3,0,32,0,97,35,0,94
rqlite__rqlite,app_cmd,8,70,206,0,68,cmd/rqbench,0,0,70,66,2,4,0,0,206,67,1,139
pingcap__tidb,app_cmd,21,300,885,226,309,br/cmd/br,223,3,77,291,18,9,223,3,662,305,4,580
unit-io__unitdb,app_other,1,13,51,13,13,server,13,0,0,13,0,0,13,0,38,13,0,38
VictoriaMetrics__VictoriaMetrics,app_other,10,170,0,19,171,app/victoria-metrics,19,0,151,170,1,0,0,19,0,0,171,0
RichardKnop__minisql,app_cmd,2,7,42,0,7,benchmarks/cmd/report,0,0,7,7,0,0,0,0,42,7,0,35
ariga__atlas,app_run_fail,5,17,37,NA,17,cmd/atlas,NA,NA,NA,17,0,0,NA,NA,NA,17,0,20
